time_ms,seq,payload_len,sf,bw_khz,cr,tx_power_dbm,rssi_dbm,snr_db,received_total,missed_total,pc_timestamp,test_name,location,distance_m,condition,notes
947,706,20,7,125.00,5,14,-14.00,13.25,1,0,2026-04-21T20:14:03,01_bringup_desk_2m_los_sf7_bw125_cr45_p14_run1,desk,2,LOS,
1147,707,20,7,125.00,5,14,-14.00,12.75,2,0,2026-04-21T20:14:03,01_bringup_desk_2m_los_sf7_bw125_cr45_p14_run1,desk,2,LOS,
1347,708,20,7,125.00,5,14,-14.00,13.00,3,0,2026-04-21T20:14:03,01_bringup_desk_2m_los_sf7_bw125_cr45_p14_run1,desk,2,LOS,
1547,709,20,7,125.00,5,14,-14.00,13.25,4,0,2026-04-21T20:14:03,01_bringup_desk_2m_los_sf7_bw125_cr45_p14_run1,desk,2,LOS,
1747,710,20,7,125.00,5,14,-14.00,12.50,5,0,2026-04-21T20:14:04,01_bringup_desk_2m_los_sf7_bw125_cr45_p14_run1,desk,2,LOS,
1947,711,20,7,125.00,5,14,-14.00,12.50,6,0,2026-04-21T20:14:04,01_bringup_desk_2m_los_sf7_bw125_cr45_p14_run1,desk,2,LOS,
2147,712,20,7,125.00,5,14,-14.00,12.25,7,0,2026-04-21T20:14:04,01_bringup_desk_2m_los_sf7_bw125_cr45_p14_run1,desk,2,LOS,
2347,713,20,7,125.00,5,14,-15.00,12.00,8,0,2026-04-21T20:14:04,01_bringup_desk_2m_los_sf7_bw125_cr45_p14_run1,desk,2,LOS,
2547,714,20,7,125.00,5,14,-14.00,12.75,9,0,2026-04-21T20:14:04,01_bringup_desk_2m_los_sf7_bw125_cr45_p14_run1,desk,2,LOS,
2747,715,20,7,125.00,5,14,-14.00,12.75,10,0,2026-04-21T20:14:05,01_bringup_desk_2m_los_sf7_bw125_cr45_p14_run1,desk,2,LOS,
2947,716,20,7,125.00,5,14,-14.00,12.25,11,0,2026-04-21T20:14:05,01_bringup_desk_2m_los_sf7_bw125_cr45_p14_run1,desk,2,LOS,
3147,717,20,7,125.00,5,14,-15.00,11.75,12,0,2026-04-21T20:14:05,01_bringup_desk_2m_los_sf7_bw125_cr45_p14_run1,desk,2,LOS,
3347,718,20,7,125.00,5,14,-14.00,12.75,13,0,2026-04-21T20:14:05,01_bringup_desk_2m_los_sf7_bw125_cr45_p14_run1,desk,2,LOS,
