time_ms,seq,payload_len,sf,bw_khz,cr,tx_power_dbm,rssi_dbm,snr_db,received_total,missed_total,pc_timestamp,test_name,location,distance_m,condition,notes
801,885,20,7,125.00,5,14,-15.00,12.25,1,0,2026-04-21T20:14:39,01_bringup_hallway_10m_los_sf7_bw125_cr45_p14_run1,hallway,10,LOS,
1001,886,20,7,125.00,5,14,-15.00,11.75,2,0,2026-04-21T20:14:39,01_bringup_hallway_10m_los_sf7_bw125_cr45_p14_run1,hallway,10,LOS,
1201,887,20,7,125.00,5,14,-14.00,12.25,3,0,2026-04-21T20:14:39,01_bringup_hallway_10m_los_sf7_bw125_cr45_p14_run1,hallway,10,LOS,
1401,888,20,7,125.00,5,14,-15.00,12.25,4,0,2026-04-21T20:14:39,01_bringup_hallway_10m_los_sf7_bw125_cr45_p14_run1,hallway,10,LOS,
1601,889,20,7,125.00,5,14,-14.00,11.75,5,0,2026-04-21T20:14:39,01_bringup_hallway_10m_los_sf7_bw125_cr45_p14_run1,hallway,10,LOS,
1801,890,20,7,125.00,5,14,-14.00,12.00,6,0,2026-04-21T20:14:40,01_bringup_hallway_10m_los_sf7_bw125_cr45_p14_run1,hallway,10,LOS,
2001,891,20,7,125.00,5,14,-14.00,12.00,7,0,2026-04-21T20:14:40,01_bringup_hallway_10m_los_sf7_bw125_cr45_p14_run1,hallway,10,LOS,
2201,892,20,7,125.00,5,14,-15.00,12.25,8,0,2026-04-21T20:14:40,01_bringup_hallway_10m_los_sf7_bw125_cr45_p14_run1,hallway,10,LOS,
2401,893,20,7,125.00,5,14,-14.00,12.25,9,0,2026-04-21T20:14:40,01_bringup_hallway_10m_los_sf7_bw125_cr45_p14_run1,hallway,10,LOS,
2601,894,20,7,125.00,5,14,-14.00,12.50,10,0,2026-04-21T20:14:40,01_bringup_hallway_10m_los_sf7_bw125_cr45_p14_run1,hallway,10,LOS,
2801,895,20,7,125.00,5,14,-15.00,12.25,11,0,2026-04-21T20:14:41,01_bringup_hallway_10m_los_sf7_bw125_cr45_p14_run1,hallway,10,LOS,
3001,896,20,7,125.00,5,14,-15.00,12.00,12,0,2026-04-21T20:14:41,01_bringup_hallway_10m_los_sf7_bw125_cr45_p14_run1,hallway,10,LOS,
3201,897,20,7,125.00,5,14,-14.00,12.00,13,0,2026-04-21T20:14:41,01_bringup_hallway_10m_los_sf7_bw125_cr45_p14_run1,hallway,10,LOS,
3401,898,20,7,125.00,5,14,-14.00,12.25,14,0,2026-04-21T20:14:41,01_bringup_hallway_10m_los_sf7_bw125_cr45_p14_run1,hallway,10,LOS,
3601,899,20,7,125.00,5,14,-15.00,12.25,15,0,2026-04-21T20:14:41,01_bringup_hallway_10m_los_sf7_bw125_cr45_p14_run1,hallway,10,LOS,
3801,900,20,7,125.00,5,14,-14.00,12.50,16,0,2026-04-21T20:14:42,01_bringup_hallway_10m_los_sf7_bw125_cr45_p14_run1,hallway,10,LOS,
4001,901,20,7,125.00,5,14,-14.00,12.25,17,0,2026-04-21T20:14:42,01_bringup_hallway_10m_los_sf7_bw125_cr45_p14_run1,hallway,10,LOS,
