time_ms,seq,payload_len,sf,bw_khz,cr,tx_power_dbm,rssi_dbm,snr_db,received_total,missed_total,pc_timestamp,test_name,location,distance_m,condition,notes
939,24610,20,7,125.00,5,14,-41.00,12.00,1,0,2026-04-21T21:39:00,02_distance_obstacle_1mile_sf12_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle path SF12
1139,24611,20,7,125.00,5,14,-41.00,12.25,2,0,2026-04-21T21:39:00,02_distance_obstacle_1mile_sf12_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle path SF12
1339,24612,20,7,125.00,5,14,-41.00,12.25,3,0,2026-04-21T21:39:00,02_distance_obstacle_1mile_sf12_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle path SF12
1539,24613,20,7,125.00,5,14,-41.00,12.50,4,0,2026-04-21T21:39:01,02_distance_obstacle_1mile_sf12_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle path SF12
1739,24614,20,7,125.00,5,14,-41.00,12.50,5,0,2026-04-21T21:39:01,02_distance_obstacle_1mile_sf12_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle path SF12
1939,24615,20,7,125.00,5,14,-41.00,12.25,6,0,2026-04-21T21:39:01,02_distance_obstacle_1mile_sf12_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle path SF12
2139,24616,20,7,125.00,5,14,-41.00,12.50,7,0,2026-04-21T21:39:01,02_distance_obstacle_1mile_sf12_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle path SF12
2339,24617,20,7,125.00,5,14,-41.00,12.50,8,0,2026-04-21T21:39:01,02_distance_obstacle_1mile_sf12_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle path SF12
2539,24618,20,7,125.00,5,14,-41.00,12.25,9,0,2026-04-21T21:39:02,02_distance_obstacle_1mile_sf12_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle path SF12
2739,24619,20,7,125.00,5,14,-41.00,12.25,10,0,2026-04-21T21:39:02,02_distance_obstacle_1mile_sf12_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle path SF12
2939,24620,20,7,125.00,5,14,-41.00,12.25,11,0,2026-04-21T21:39:02,02_distance_obstacle_1mile_sf12_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle path SF12
3139,24621,20,7,125.00,5,14,-41.00,12.25,12,0,2026-04-21T21:39:02,02_distance_obstacle_1mile_sf12_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle path SF12
3339,24622,20,7,125.00,5,14,-40.00,12.75,13,0,2026-04-21T21:39:02,02_distance_obstacle_1mile_sf12_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle path SF12
3539,24623,20,7,125.00,5,14,-40.00,12.75,14,0,2026-04-21T21:39:03,02_distance_obstacle_1mile_sf12_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle path SF12
