time_ms,seq,payload_len,sf,bw_khz,cr,tx_power_dbm,rssi_dbm,snr_db,received_total,missed_total,pc_timestamp,test_name,location,distance_m,condition,notes
13203,38182,20,7,125.00,5,14,-110.00,-0.25,1,0,2026-04-21T22:24:16,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
13403,38183,20,7,125.00,5,14,-111.00,-3.00,2,0,2026-04-21T22:24:16,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
13603,38184,20,7,125.00,5,14,-111.00,-1.50,3,0,2026-04-21T22:24:17,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
13803,38185,20,7,125.00,5,14,-110.00,-1.50,4,0,2026-04-21T22:24:17,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
14203,38187,20,7,125.00,5,14,-110.00,-1.00,5,1,2026-04-21T22:24:17,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
14403,38188,20,7,125.00,5,14,-110.00,-4.25,6,1,2026-04-21T22:24:17,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
14603,38189,20,7,125.00,5,14,-112.00,-4.00,7,1,2026-04-21T22:24:18,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
14803,38190,20,7,125.00,5,14,-112.00,-2.50,8,1,2026-04-21T22:24:18,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
15003,38191,20,7,125.00,5,14,-112.00,-3.00,9,1,2026-04-21T22:24:18,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
15203,38192,20,7,125.00,5,14,-111.00,-2.25,10,1,2026-04-21T22:24:18,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
15403,38193,20,7,125.00,5,14,-112.00,-4.00,11,1,2026-04-21T22:24:18,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
15603,38194,20,7,125.00,5,14,-113.00,-7.50,12,1,2026-04-21T22:24:19,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
15803,38195,20,7,125.00,5,14,-114.00,-6.25,13,1,2026-04-21T22:24:19,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
16003,38196,20,7,125.00,5,14,-113.00,-5.75,14,1,2026-04-21T22:24:19,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
16203,38197,20,7,125.00,5,14,-114.00,-4.00,15,1,2026-04-21T22:24:19,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
16603,38199,20,7,125.00,5,14,-111.00,-2.50,16,2,2026-04-21T22:24:20,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
16803,38200,20,7,125.00,5,14,-111.00,-4.00,17,2,2026-04-21T22:24:20,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
17003,38201,20,7,125.00,5,14,-112.00,-6.50,18,2,2026-04-21T22:24:20,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
17403,38203,20,7,125.00,5,14,-112.00,-7.50,19,3,2026-04-21T22:24:20,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
17603,38204,20,7,125.00,5,14,-110.00,-6.00,20,3,2026-04-21T22:24:21,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
17803,38205,20,7,125.00,5,14,-111.00,-7.00,21,3,2026-04-21T22:24:21,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
18003,38206,20,7,125.00,5,14,-111.00,-7.00,22,3,2026-04-21T22:24:21,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
18203,38207,20,7,125.00,5,14,-112.00,-7.75,23,3,2026-04-21T22:24:21,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
18603,38209,20,7,125.00,5,14,-113.00,-8.00,24,4,2026-04-21T22:24:22,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
18803,38210,20,7,125.00,5,14,-112.00,-7.50,25,4,2026-04-21T22:24:22,02_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
