time_ms,seq,payload_len,sf,bw_khz,cr,tx_power_dbm,rssi_dbm,snr_db,received_total,missed_total,pc_timestamp,test_name,location,distance_m,condition,notes
2152,40457,20,7,125.00,5,14,-110.00,-4.75,1,0,2026-04-21T22:31:51,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
2352,40458,20,7,125.00,5,14,-109.00,-2.25,2,0,2026-04-21T22:31:51,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
2552,40459,20,7,125.00,5,14,-109.00,-3.00,3,0,2026-04-21T22:31:52,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
2752,40460,20,7,125.00,5,14,-110.00,-2.25,4,0,2026-04-21T22:31:52,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
2952,40461,20,7,125.00,5,14,-109.00,-3.00,5,0,2026-04-21T22:31:52,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
3152,40462,20,7,125.00,5,14,-109.00,-2.75,6,0,2026-04-21T22:31:52,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
3352,40463,20,7,125.00,5,14,-108.00,-4.50,7,0,2026-04-21T22:31:52,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
3552,40464,20,7,125.00,5,14,-106.00,-2.25,8,0,2026-04-21T22:31:53,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
3752,40465,20,7,125.00,5,14,-107.00,-3.50,9,0,2026-04-21T22:31:53,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
3952,40466,20,7,125.00,5,14,-108.00,-4.75,10,0,2026-04-21T22:31:53,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
4152,40467,20,7,125.00,5,14,-108.00,-5.25,11,0,2026-04-21T22:31:53,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
4352,40468,20,7,125.00,5,14,-109.00,-5.25,12,0,2026-04-21T22:31:53,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
4552,40469,20,7,125.00,5,14,-109.00,-6.00,13,0,2026-04-21T22:31:54,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
4752,40470,20,7,125.00,5,14,-109.00,-6.25,14,0,2026-04-21T22:31:54,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
4952,40471,20,7,125.00,5,14,-109.00,-6.00,15,0,2026-04-21T22:31:54,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
5152,40472,20,7,125.00,5,14,-109.00,-5.25,16,0,2026-04-21T22:31:54,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
5552,40474,20,7,125.00,5,14,-108.00,-6.50,17,1,2026-04-21T22:31:55,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
5752,40475,20,7,125.00,5,14,-108.00,-7.00,18,1,2026-04-21T22:31:55,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
5952,40476,20,7,125.00,5,14,-109.00,-5.50,19,1,2026-04-21T22:31:55,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
6152,40477,20,7,125.00,5,14,-109.00,-5.75,20,1,2026-04-21T22:31:55,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
6352,40478,20,7,125.00,5,14,-109.00,-5.75,21,1,2026-04-21T22:31:55,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
6552,40479,20,7,125.00,5,14,-109.00,-5.75,22,1,2026-04-21T22:31:56,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
6752,40480,20,7,125.00,5,14,-109.00,-5.25,23,1,2026-04-21T22:31:56,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
6952,40481,20,7,125.00,5,14,-109.00,-5.25,24,1,2026-04-21T22:31:56,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
7152,40482,20,7,125.00,5,14,-110.00,-6.00,25,1,2026-04-21T22:31:56,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
7552,40484,20,7,125.00,5,14,-111.00,-7.25,26,2,2026-04-21T22:31:57,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
7752,40485,20,7,125.00,5,14,-110.00,-7.50,27,2,2026-04-21T22:31:57,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
8552,40489,20,7,125.00,5,14,-111.00,-8.00,28,5,2026-04-21T22:31:58,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
8752,40490,20,7,125.00,5,14,-111.00,-7.00,29,5,2026-04-21T22:31:58,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
11552,40504,20,7,125.00,5,14,-110.00,-7.25,30,18,2026-04-21T22:32:01,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
11952,40506,20,7,125.00,5,14,-109.00,-5.75,31,19,2026-04-21T22:32:01,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
12152,40507,20,7,125.00,5,14,-109.00,-6.25,32,19,2026-04-21T22:32:01,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
12752,40510,20,7,125.00,5,14,-107.00,-3.00,33,21,2026-04-21T22:32:02,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
13352,40513,20,7,125.00,5,14,-109.00,-5.25,34,23,2026-04-21T22:32:02,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
13952,40516,20,7,125.00,5,14,-112.00,-8.75,35,25,2026-04-21T22:32:03,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
14752,40520,20,7,125.00,5,14,-112.00,-9.00,36,28,2026-04-21T22:32:04,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
15152,40522,20,7,125.00,5,14,-112.00,-8.25,37,29,2026-04-21T22:32:04,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
16352,40528,20,7,125.00,5,14,-112.00,-8.25,38,34,2026-04-21T22:32:05,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
16552,40529,20,7,125.00,5,14,-111.00,-7.25,39,34,2026-04-21T22:32:06,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
16952,40531,20,7,125.00,5,14,-111.00,-8.25,40,35,2026-04-21T22:32:06,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
17352,40533,20,7,125.00,5,14,-112.00,-8.75,41,36,2026-04-21T22:32:06,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
20552,40549,20,7,125.00,5,14,-112.00,-9.75,42,51,2026-04-21T22:32:10,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
20752,40550,20,7,125.00,5,14,-112.00,-9.50,43,51,2026-04-21T22:32:10,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
21352,40553,20,7,125.00,5,14,-110.00,-8.75,44,53,2026-04-21T22:32:10,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
22152,40557,20,7,125.00,5,14,-111.00,-8.50,45,56,2026-04-21T22:32:11,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
22552,40559,20,7,125.00,5,14,-111.00,-9.25,46,57,2026-04-21T22:32:12,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
22752,40560,20,7,125.00,5,14,-111.00,-8.75,47,57,2026-04-21T22:32:12,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
22952,40561,20,7,125.00,5,14,-109.00,-8.25,48,57,2026-04-21T22:32:12,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
23152,40562,20,7,125.00,5,14,-109.00,-7.50,49,57,2026-04-21T22:32:12,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
23352,40563,20,7,125.00,5,14,-110.00,-8.75,50,57,2026-04-21T22:32:12,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
23552,40564,20,7,125.00,5,14,-110.00,-8.00,51,57,2026-04-21T22:32:13,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
23752,40565,20,7,125.00,5,14,-109.00,-7.25,52,57,2026-04-21T22:32:13,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
24152,40567,20,7,125.00,5,14,-110.00,-7.25,53,58,2026-04-21T22:32:13,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
24352,40568,20,7,125.00,5,14,-110.00,-7.75,54,58,2026-04-21T22:32:13,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
24552,40569,20,7,125.00,5,14,-111.00,-8.50,55,58,2026-04-21T22:32:14,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
24752,40570,20,7,125.00,5,14,-111.00,-7.75,56,58,2026-04-21T22:32:14,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
24952,40571,20,7,125.00,5,14,-111.00,-9.00,57,58,2026-04-21T22:32:14,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
25152,40572,20,7,125.00,5,14,-111.00,-8.00,58,58,2026-04-21T22:32:14,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
25352,40573,20,7,125.00,5,14,-113.00,-9.00,59,58,2026-04-21T22:32:14,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
25752,40575,20,7,125.00,5,14,-111.00,-9.50,60,59,2026-04-21T22:32:15,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
26352,40578,20,7,125.00,5,14,-111.00,-8.75,61,61,2026-04-21T22:32:15,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
26552,40579,20,7,125.00,5,14,-110.00,-8.50,62,61,2026-04-21T22:32:16,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
26752,40580,20,7,125.00,5,14,-111.00,-7.25,63,61,2026-04-21T22:32:16,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
26952,40581,20,7,125.00,5,14,-110.00,-8.25,64,61,2026-04-21T22:32:16,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
27152,40582,20,7,125.00,5,14,-110.00,-6.25,65,61,2026-04-21T22:32:16,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
27352,40583,20,7,125.00,5,14,-110.00,-7.00,66,61,2026-04-21T22:32:16,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
27552,40584,20,7,125.00,5,14,-109.00,-6.50,67,61,2026-04-21T22:32:17,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
27752,40585,20,7,125.00,5,14,-109.00,-6.00,68,61,2026-04-21T22:32:17,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
27952,40586,20,7,125.00,5,14,-109.00,-5.25,69,61,2026-04-21T22:32:17,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
28152,40587,20,7,125.00,5,14,-110.00,-5.50,70,61,2026-04-21T22:32:17,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
28352,40588,20,7,125.00,5,14,-110.00,-8.25,71,61,2026-04-21T22:32:17,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
28552,40589,20,7,125.00,5,14,-109.00,-5.50,72,61,2026-04-21T22:32:18,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
28752,40590,20,7,125.00,5,14,-109.00,-5.00,73,61,2026-04-21T22:32:18,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
29152,40592,20,7,125.00,5,14,-109.00,-6.00,74,62,2026-04-21T22:32:18,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
29352,40593,20,7,125.00,5,14,-109.00,-5.50,75,62,2026-04-21T22:32:18,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
29552,40594,20,7,125.00,5,14,-109.00,-5.25,76,62,2026-04-21T22:32:19,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
29752,40595,20,7,125.00,5,14,-109.00,-5.50,77,62,2026-04-21T22:32:19,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
29952,40596,20,7,125.00,5,14,-109.00,-6.25,78,62,2026-04-21T22:32:19,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
30152,40597,20,7,125.00,5,14,-108.00,-4.50,79,62,2026-04-21T22:32:19,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
30352,40598,20,7,125.00,5,14,-110.00,-6.00,80,62,2026-04-21T22:32:19,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
30752,40600,20,7,125.00,5,14,-110.00,-6.75,81,63,2026-04-21T22:32:20,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
31152,40602,20,7,125.00,5,14,-110.00,-6.50,82,64,2026-04-21T22:32:20,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
31552,40604,20,7,125.00,5,14,-111.00,-7.25,83,65,2026-04-21T22:32:21,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
31752,40605,20,7,125.00,5,14,-110.00,-7.75,84,65,2026-04-21T22:32:21,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
32152,40607,20,7,125.00,5,14,-109.00,-6.25,85,66,2026-04-21T22:32:21,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
32352,40608,20,7,125.00,5,14,-110.00,-7.50,86,66,2026-04-21T22:32:21,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
32552,40609,20,7,125.00,5,14,-110.00,-6.00,87,66,2026-04-21T22:32:22,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
32752,40610,20,7,125.00,5,14,-110.00,-5.25,88,66,2026-04-21T22:32:22,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
32952,40611,20,7,125.00,5,14,-110.00,-6.25,89,66,2026-04-21T22:32:22,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
33152,40612,20,7,125.00,5,14,-110.00,-5.25,90,66,2026-04-21T22:32:22,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
33352,40613,20,7,125.00,5,14,-111.00,-5.75,91,66,2026-04-21T22:32:22,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
33552,40614,20,7,125.00,5,14,-110.00,-6.50,92,66,2026-04-21T22:32:23,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
33752,40615,20,7,125.00,5,14,-111.00,-7.00,93,66,2026-04-21T22:32:23,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
34152,40617,20,7,125.00,5,14,-111.00,-8.25,94,67,2026-04-21T22:32:23,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
34352,40618,20,7,125.00,5,14,-111.00,-8.25,95,67,2026-04-21T22:32:23,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
34552,40619,20,7,125.00,5,14,-110.00,-5.50,96,67,2026-04-21T22:32:24,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
34752,40620,20,7,125.00,5,14,-111.00,-7.50,97,67,2026-04-21T22:32:24,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
34952,40621,20,7,125.00,5,14,-111.00,-7.50,98,67,2026-04-21T22:32:24,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
35152,40622,20,7,125.00,5,14,-112.00,-8.75,99,67,2026-04-21T22:32:24,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
36752,40630,20,7,125.00,5,14,-111.00,-7.25,100,74,2026-04-21T22:32:26,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
36952,40631,20,7,125.00,5,14,-110.00,-6.75,101,74,2026-04-21T22:32:26,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
37152,40632,20,7,125.00,5,14,-111.00,-7.25,102,74,2026-04-21T22:32:26,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
37352,40633,20,7,125.00,5,14,-110.00,-7.25,103,74,2026-04-21T22:32:26,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
37552,40634,20,7,125.00,5,14,-110.00,-6.50,104,74,2026-04-21T22:32:27,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
37752,40635,20,7,125.00,5,14,-109.00,-7.00,105,74,2026-04-21T22:32:27,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
37952,40636,20,7,125.00,5,14,-109.00,-5.00,106,74,2026-04-21T22:32:27,04_sftrade_1mile_obstacle_sf7_bw125_cr45_p14_run1,longrange,1609,obstacle,1 mile obstacle SF7 tradeoff
